Game,Meta,Meta (w/Data),Meta(w/Upset),Gemini,Gemini(w/Data),Gemini(w/Upset),Copilot,Copilot(w/Data),Copilot(w/Upset),Book Keeper Choice (DK),Odds (DK),Outcome,Odds of Winner,,,,,,,,,
Heat at Wizards,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,"Wizards +320, Heat -410",Heat,-410,,,,,,,,,
Clippers at Magic,Clippers,Clippers,Magic,Clippers,Clippers,Clippers,Clippers,Clippers,Magic,Clippers,"Magic +120, Clippers -142",Clippers,-142,,,,,,,,,
Kings at Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,"Kings +185, Pacers -225",Pacers,-225,,,,,,,,,
Jazz at Hornets,Hornets,Hornets,Hornets,Hornets,Hornets,Jazz,Jazz,Jazz,Jazz,Hornets,"Jazz +120, Hornets -142",Hornets,-142,,,,,,,,,
Celtics at Grizzlies,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Grizzlies,Grizzlies,Celtics,Celtics,"Grizzlies +184, Celtics -198",Celtics,-198,,,,,,,,,
Bulls at Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,"Bulls +700, Thunder -1100",Thunder,-1100,,,,,,,,,
Nets at Mavericks,Mavericks,Mavericks,Nets,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,"Nets +320, Mavericks -410",Nets,320,,,,,,,,,
Rockets at Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,"Rockets +145, Lakers -175",Lakers,-175,,,,,,,,,
Trailblazers at Hawks,Hawks,Hawks,Trailblazers,Hawks,Hawks,Hawks,Hawks,Hawks,Hawks,Hawks,"Trailblazers +170, Hawks -205",Trailblazers,170,,,,,,,,,
76ers at Knicks,Knicks,Knicks,Knicks,Knicks,Knicks,Knicks,76ers,Knicks,Knicks,Knicks,"76ers +650, Knicks -1000",Knicks,-1000,,,,,,,,,
Suns at Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,"Suns +185, Bucks -225",Bucks,-225,,,,,,,,,
Warriors at Grizzlies,Warriors,Warriors,Warriors,Warriors,Warriors,Warriors,Grizzlies,Warriors,Grizzlies,Warriors,"Grizzlies +170, Warriors -205",Warriors,-205,,,,,,,,,
Raptors at Bulls,Bulls,Bulls,Bulls,Bulls,Bulls,Raptors,Bulls,Bulls,Bulls,Bulls,"Raptors +164, Bulls -198",Bulls,-198,,,,,,,,,
Magic at Spurs,Magic,Magic,Magic,Magic,Magic,Magic,Spurs,Spurs,Magic,Magic,"Spurs +145, Magic -175",Magic,-175,,,,,,,,,
Timberwolves at Nuggets,Nuggets,Nuggets,Timberwolves,Nuggets,Nuggets,Timberwolves,Nuggets,Timberwolves,Nuggets,Nuggets,"Timberwolves +130, Nuggets -155",Timberwolves,130,,,,,,,,,
Hornets at Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,"Hornets +675, Pacers -1050",Pacers,-1050,,,,,,,,,
Kinicks at Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,"Knicks +400, Cavaliers -535",Cavaliers,-535,,,,,,,,,
Kings at Wizards,Kings,Kings,Kings,Kings,Kings,Kings,Kings,Kings,Wizards,Kings,"Wizards +550, Kings -800",Wizards,550,,,,,,,,,
Heat at Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,"Heat +425, Celtics -575",Heat,425,,,,,,,,,
Jazz at Rockets,Rockets,Rockets,Rockets,Rockets,Rockets,Rockets,Jazz,Rockets,Rockets,Rockets,"Jazz +950, Rockets -1650",Rockets,-1650,,,,,,,,,
Hawks at Mavericks,Mavericks,Mavericks,Hawks,Mavericks,Mavericks,Hawks,Mavericks,Mavericks,Mavericks,Mavericks,"Hawks +154, Mavericks -185",Mavericks,-185,,,,,,,,,
Spurs at Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Spurs,Nuggets,Nuggets,Nuggets,Nuggets,"Spurs +295, Nuggets -375",Spurs,295,,,,,,,,,
Pistons at Thunder,Thunder,Pistons,Pistons,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,"Pistons +600, Thunder -900",Thunder,-900,,,,,,,,,
Pelicans at Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,"Pelicans +950, Clippers -1650",Clippers,-1650,,,,,,,,,
Bucks at 76ers,Bucks,Bucks,76ers,Bucks,Bucks,Bucks,76ers,Bucks,76ers,Bucks,"76ers +500, Bucks -700",Bucks,-700,,,,,,,,,
Magic at Wizards,Magic,Magic,Magic,Magic,Magic,Magic,Wizards,Magic,Wizards,Magic,"Wizards +650, Magic -1000",Magic,-1000,,,,,,,,,
Trailblazers at Raptors,Trailblazers,Trailblazers,Trailblazers,Raptors,Trailblazers,Trailblazers,Raptors,Raptors,Raptors,Trailblazers,"Raptors +160, Trailblazers -192",Trailblazers,-192,,,,,,,,,
Timberwolves at Nets,Timberwolves,Timberwolves,Nets,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,"Nets +575, Timberwolves -850",Timberwolves,-850,,,,,,,,,
Grizzlies at Heat,Grizzlies,Grizzlies,Grizzlies,Heat,Grizzlies,Heat,Heat,Grizzlies,Heat,Grizzlies,"Heat +160, Grizzlies -192",Grizzlies,-192,,,,,,,,,
Warriors at Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Warriors,Lakers,Lakers,Lakers,Lakers,"Warriors +102, Lakers -122",Warriors,102,,,,,,,,,
Jazz at Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,"Jazz +800, Pacers -1350",Pacers,-1350,,,,,,,,,
Kings at Hornets,Kings,Kings,Kings,Kings,Kings,Kings,Kings,Kings,Kings,Kings,"Hornets +425, Kings -575",Kings,-575,,,,,,,,,
Suns at Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,"Suns +600, Celtics -900",Celtics,-900,,,,,,,,,
Pistons at Raptors,Pistons,Pistons,Pistons,Pistons,Pistons,Pistons,Pistons,Pistons,Raptors,Pistons,"Raptors +455, Pistons -525",Pistons,-525,,,,,,,,,
Cavaliers at Spurs,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,"Spurs +550, Cavaliers -800",Cavaliers,-800,,,,,,,,,
Thunder at Rockets,Thunder,Thunder,Rockets,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,"Rockets +200, Thunder -245",Rockets,200,,,,,,,,,
Trailblazers at Bulls,Trailblazers,Bulls,Trailblazers,Bulls,Bulls,Trailblazers,Bulls,Bulls,Bulls,Bulls,"Trailblazers +195, Bulls -238",Bulls,-238,,,,,,,,,
Nuggets at Warriors,Warriors,Nuggets,Warriors,Warriors,Warriors,Nuggets,Warriors,Warriors,Nuggets,Warriors,Nuggets -105 Warriors -115,Warriors,-115,,,,,,,,,
Pelicans at Lakers,Lakers,Lakers,Pelicans,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,"Pelicans +650, Lakers -1000",Lakers,-1000,,,,,,,,,
Mavericks at Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,"Mavericks +380, Clippers -500",Clippers,-500,,,,,,,,,
Kincks at Hawks,Knicks,Hawks,Knicks,Knicks,Knicks,Hawks,Knicks,Knicks,Hawks,Knicks,"Hawks +105, Knicks -125",Knicks,-125,,,,,,,,,
Grizzlies at Pistons,Grizzlies,Grizzlies,Pistons,Grizzlies,Grizzlies,Grizzlies,Grizzlies,Pistons,Pistons,Grizzlies,"Pistons +105, Grizzlies -125",Grizzlies,-125,,,,,,,,,
Timberwolves at 76ers,Timberwolves,Timberwolves,76ers,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,"76ers +800, Timberwolves -1350",Timberwolves,-1350,,,,,,,,,
Bucks at Heat,Bucks,Bucks,Bucks,Bucks,Bucks,Heat,Bucks,Bucks,Bucks,Heat,"Bucks -105, Heat -115",Bucks,-105,,,,,,,,,
Mavericks at Clippers,Clippers,Mavericks,Clippers,Mavericks,Clippers,Mavericks,Clippers,Clippers,Clippers,Mavericks,"Clippers -105, Mavericks -115",Clippers,-105,,,,,,,,,
Bulls at Hornets,Bulls,Bulls,Bulls,Bulls,Bulls,Bulls,Bulls,Bulls,Bulls,Bulls,"Hornets +280, Bulls -355",Bulls,-355,,,,,,,,,
Lakers at Thunder,Lakers,Lakers,Lakers,Thunder,Thunder,Lakers,Thunder,Thunder,Thunder,Thunder,"Lakers +310, Thunder -395",Lakers,310,,,,,,,,,
Raptors at Nets,Raptors,Raptors,Raptors,Nets,Nets,Nets,Raptors,Raptors,Nets,Raptors,"Nets +130, Raptors -155",Raptors,-155,,,,,,,,,
Kings at Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Kings,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,"Kings +350, Cavaliers -455",Kings,350,,,,,,,,,
Wizards at Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,"Wizards +1400, Celtics -3200",Celtics,-3200,,,,,,,,,
Jazz at Hawks,Hawks,Hawks,Hawks,Hawks,Hawks,Jazz,Hawks,Hawks,Jazz,Hawks,"Jazz +550, Hawks -800",Hawks,-800,,,,,,,,,
Spurs at Trailblazers,Trailblazers,Trailblazers,Trailblazers,Trailblazers,Spurs,Trailblazers,Trailblazers,Trailblazers,Trailblazers,Trailblazers,"Spurs +164, Trailblazers -198",Trailblazers,-198,,,,,,,,,
Suns at Knicks,Knicks,Knicks,Knicks,Suns,Knicks,Suns,Knicks,Knicks,Knicks,Knicks,"Suns +320, Knicks -410",Knicks,-410,,,,,,,,,
Pacers at Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,"Pacers +210, Nuggets -258",Pacers,210,,,,,,,,,
Rockets at Warriors,Warriors,Warriors,Rockets,Warriors,Warriors,Warriors,Warriors,Warriors,Warriors,Warriors,"Rockets +180, Warriors -218",Rockets,180,,,,,,,,,
Bucks at Pelicans,Bucks,Bucks,Bucks,Bucks,Pelicans,Bucks,Bucks,Bucks,Bucks,Bucks,"Pelicans +270, Bucks -340",Bucks,-340,,,,,,,,,
Kings at Pistons,Pistons,Pistons,Kings,Pistons,Pistons,Kings,Pistons,Pistons,Kings,Pistons,"Kings +210, Pistons -258",Kings,210,,,,,,,,,
76ers at Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,"76ers +550, Heat -800",Heat,-800,,,,,,,,,
Hawks at Magic,Magic,Magic,Magic,Magic,Magic,Magic,Hawks,Magic,Hawks,Magic,"Hawks +142, Magic -170",Magic,-170,,,,,,,,,
Bulls at Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,"Bulls +625, Cavaiiers -950",Cavaliers,-950,,,,,,,,,
Grizzlies at Hornets,Grizzlies,Grizzlies,Grizzlies,Grizzlies,Grizzlies,Grizzlies,Grizzlies,Grizzlies,Grizzlies,Grizzlies,"Hornets +750, Grizzlies -1200",Grizzlies,-1200,,,,,,,,,
Wizards at Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,"Wizards +1100, Pacers -2100",Pacers,-2100,,,,,,,,,
Celtics at Knicks,Knicks,Knicks,Knicks,Knicks,Knicks,Celtics,Celtics,Celtics,Knicks,Knicks,"Celtics +100, Knicks -120",Celtics,100,,,,,,,,,
Pelicans at Nets,Nets,Nets,Nets,Nets,Nets,Pelicans,Pelicans,Nets,Nets,Nets,"Pelicans +124, Nets -148",Nets,-148,,,,,,,,,
Lakers at Thunder,Thunder,Thunder,Lakers,Thunder,Thunder,Thunder,Thunder,Lakers,Thunder,Thunder,"Lakers +625, Thunder -950",Thunder,-950,,,,,,,,,
Timberwolves at Bucks,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Bucks,Bucks,Bucks,Timberwolves,"Bucks +180, Timberwolves -218",Bucks,180,,,,,,,,,
Warriors at Suns,Warriors,Warriors,Suns,Warriors,Warriors,Warriors,Warriors,Suns,Warriors,Warriors,"Suns +330, Warriors -425",Warriors,-425,,,,,,,,,
Spurs at Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,"Spurs +575, Clippers -850",Clippers,-850,,,,,,,,,
Celtics at Magic,Celtics,Magic,Celtics,Magic,Magic,Magic,Celtics,Celtics,Celtics,Magic,"Celtics +240, Magic -298",Magic,-298,,,,,,,,,
76ers at Wizards,76ers,76ers,Wizards,76ers,Wizards,Wizards,76ers,76ers,76ers,76ers,"Wizaeds +102, 76ers -122",76ers,-122,,,,,,,,,
Lakers at Mavericks,Mavericks,Lakers,Lakers,Lakers,Lakers,Lakers,Mavericks,Lakers,Lakers,Lakers,"Mavericks +142, Lakers -170",Lakers,-170,,,,,,,,,
Horents at Raptors,Raptors,Raptors,Raptors,Raptors,Raptors,Raptors,Raptors,Raptors,Raptors,Raptors,"Hornets +330, Raptors -425",Raptors,-425,,,,,,,,,
Heat at Bulls,Heat,Bulls,Heat,Bulls,Heat,Heat,Heat,Bulls,Heat,Heat,"Bulls -105, Heat -115",Bulls,-105,,,,,,,,,
Trailblazers at Jazz,Jazz,Jazz,Jazz,Trailblazers,Trailblazers,Trailblazers,Jazz,Trailblazers,Jazz,Trailblazers,"Jazz +200, Trailblazers -245",Jazz,200,,,,,,,,,
Thunder at Suns,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,Suns,Thunder,Suns,Thunder,"Suns +330, Thunder -425",Thunder,-425,,,,,,,,,
Nuggets at Kings,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Kings,Nuggets,"Kings +150, Nuggets -180",Nuggets,-180,,,,,,,,,
Spurs at Warriors,Warriors,Warriors,Warriors,Warriors,Warriors,Warriors,Warriors,Warriors,Warriors,Warriors,"Spurs +900, Warriors -1600",Spurs,900,,,,,,,,,
Rockets at Clippers,Clippers,Rockets,Clippers,Clippers,Clippers,Clippers,Clippers,Rockets,Clippers,Clippers,"Rockets +250,  Clippers -310",Clippers,-310,,,,,,,,,
Cavaliers at Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Cavaliers,Cavaliers,Cavaliers,Pacers,"Cavaliers +340, Pacers -440",Pacers,-440,,,,,,,,,
Knicks at Pistons,Pistons,Knicks,Knicks,Pistons,Pistons,Knicks,Knicks,Pistons,Knicks,Pistons,"Knicks +136, Pistons -162",Pistons,-162,,,,,,,,,
Hawks at Nets,Hawks,Hawks,Nets,Hawks,Hawks,Nets,Nets,Nets,Hawks,Hawks,"Nets +600, Hawks -900",Hawks,-900,,,,,,,,,
Pelicans at Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,Bucks,Pelicans,Bucks,"Pelicans +800, Bucks -1350",Bucks,-1350,,,,,,,,,
Timberwolves at Grizzlies,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Grizzlies,Grizzlies,Grizzlies,Timberwolves,"Grizzlies +105, Timberwolves -125",Timberwolves,-125,,,,,,,,,
Hawks at 76ers,Hawks,76ers,76ers,Hawks,76ers,Hawks,Hawks,Hawks,Hawks,Hawks,"76ers +500, Hawks -700",Hawks,-700,,,,,,,,,
Magic at Pacers,Pacers,Magic,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,Pacers,"Magic +136, Pacers -162",Magic,136,,,,,,,,,
Bucks at Pistons,Bucks,Pistons,Bucks,Pistons,Bucks,Bucks,Pistons,Pistons,Bucks,Pistons,"Bucks +150, Pistons -180",Bucks,150,,,,,,,,,
Hornets at Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,"Hornets +1200, Celtics -2400",Celtics,-2400,,,,,,,,,
Cavaliers at Knicks,Knicks,Cavaliers,Knicks,Knicks,Cavaliers,Cavaliers,Knicks,Knicks,Knicks,Knicks,"Cavaliers -105, Knicks -115",Cavaliers,-105,,,,,,,,,
Heat at Pelicans,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,"Pelicans +800, Heat -1350 ",Heat,-1350,,,,,,,,,
Wizards at Bulls,Bulls,Bulls,Bulls,Bulls,Bulls,Bulls,Bulls,Bulls,Bulls,Bulls,"Wizards +750, Bulls -1200",Bulls,-1200,,,,,,,,,
Raptors at Mavericks,Mavericks,Raptors,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks,Mavericks," Raptors +440, Mavericks -600",Mavericks,-600,,,,,,,,,
Grizzlies at Nuggets,Nuggets,Nuggets,Grizzlies,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,Nuggets,"Grizzlies +220, Nuggets -270",Nuggets,-270,,,,,,,,,
Nets at Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,"Nets +1300, Timbnerwolves -2800",Timberwolves,-2800,,,,,,,,,
Thunder at Jazz,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,Jazz,Jazz,Thunder,Thunder,"Jazz +350, Thunder -455",Thunder,-455,,,,,,,,,
Clippers at Kings,Clippers,Clippers,Clippers,Clippers,Clippers,Clippers,Kings,Clippers,Kings,Clippers,"Kings +205, Clippers -250",Clippers,-250,,,,,,,,,
Warriors at Trailblazers,Warriors,Warriors,Warriors,Warriors,Warriors,Warriors,Warriors,Warriors,Warriors,Warriors,"Trailblazers +650, Warriors -1000",Warriors,-1000,,,,,,,,,
Spurs at Suns,Suns,Suns,Suns,Suns,Suns,Suns,Suns,Spurs,Suns,Suns,"Spurs +170, Suns -205",Suns,-205,,,,,,,,,
Rockets at Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,Lakers,"Rockets +500, Lakers -700",Lakers,-700,,,,,,,,,
Knicks at Nets,Knicks,Knicks,Knicks,Knicks,Knicks,Knicks,Nets,Nets,Knicks,Knicks,"Nets +154, Knicks -185",Knicks,-185,,,,,,,,,
Hornets at Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,Celtics,"Hornets +380, Celtics -500",Celtics,-500,,,,,,,,,
Wizards at Heat,Heat,Wizards,Heat,Heat,Heat,Heat,Heat,Heat,Heat,Heat,"Wizards +285, Heat -360",Wizards,285,,,,,,,,,
Bulls at 76ers,Bulls,76ers,Bulls,Bulls,Bylls,Bulls,76ers,Bulls,76ers,Bulls,"76ers +300, Bulls -380",Bulls,-380,,,,,,,,,
Pistons at Bucks,Bucks,Bucks,Bucks,Pistons,Bucks,Bucks,Bucks,Bucks,Bucks,Pistons,"Bucks +310, Pistons -395",Bucks,310,,,,,,,,,
Pacers at Cavaliers,Pacers,Cavaliers,Pacers,Pacers,Pacers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Pacers,"Cavaliers +220, Pacers -270",Pacers,-270,,,,,,,,,
Magic at Hawks,Magic,Magic,Magic,Hawks,Magic,Hawks,Hawks,Hawks,Hawks,Magic,"Hawks + 130, Magic -155",Hawks,130,,,,,,,,,
Clippers at Warriors,Warriors,Warriors,Warriors,Warriors,Clippers,Warriors,Warriors,Warriors,Warriors,Warriors,"Clippers +140, Warriors -166",Clippers,140,,,,,,,,,
Mavericks at Grizzlies,Grizzlies,Mavericks,Grizzlies,Grizzlies,Grizzlies,Grizzlies,Grizzlies,Grizzlies,Grizzlies,Mavericks,"Grizzlies +102, Mavericks -122",Grizzlies,102,,,,,,,,,
Jazz at Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,Timberwolves,"Jazz +1700, Timberwolves -4500",Timberwolves,-4500,,,,,,,,,
Suns at Kings,Kings,Kings,Kings,Kings,Suns,Kings,Kings,Suns,Kings,Kings,"Suns +750, Kings -1200",Kings,-1200,,,,,,,,,
Nuggets at Rockets,Nuggets,Nuggets,Rockets,Nuggets,Nuggets,Nuggets,Nuggets,Rockets,Nuggets,Nuggets,"Rockets +320, Nuggets -410",Nuggets,-410,,,,,,,,,
Thunder at Pelicans,Thunder,Thunder,Thunder,Thunder,Thunder,Thunder,Pelicans,Thunder,Pelicans,Thunder,"Pelicans +525, Thunder -750",Thunder,-750,,,,,,,,,
Lakers at Trailblazers,Trailblazers,Trailblazers,Lakers,Trailblazers,Lakers,Trailblazers,Lakers,Trailblazers,Trailblazers,Trailblazers,"Lakers +205, Trailblazers -250",Trailblazers,-250,,,,,,,,,
Raptors at Spurs,Spurs,Spurs,Spurs,Spurs,Spurs,Spurs,Raptors,Spurs,Raptors,Spurs,"Raptors +170, Spurs -205",Spurs,-205,,,,,,,,,
